AccountLevel,FreeRewardItemId,FreeRewardItemValue,RareRewardItemId,RareRewardItemValue,EpicRewardItemId,EpicRewardItemValue
1,50001,10000,50002,500,50002,1000
2,50002,100,50002,500,50002,1000
3,50001,10000,50002,500,50002,1000
4,50002,100,50002,500,50002,1000
5,50001,10000,50002,500,50002,1000
6,50002,100,50002,500,50002,1000
7,50001,10000,50002,500,50002,1000
8,50002,100,50002,500,50002,1000
9,50001,10000,50002,500,50002,1000
10,50002,100,50002,500,50002,1000
11,50001,10000,50002,500,50002,1000
12,50002,100,50002,500,50002,1000
13,50001,10000,50002,500,50002,1000
14,50002,100,50002,500,50002,1000
15,50001,10000,50002,500,50002,1000
16,50002,100,50002,500,50002,1000
17,50001,10000,50002,500,50002,1000
18,50002,100,50002,500,50002,1000
19,50001,10000,50002,500,50002,1000
20,50002,100,50002,500,50002,1000
21,50001,10000,50002,500,50002,1000
22,50002,100,50002,500,50002,1000
23,50001,10000,50002,500,50002,1000
24,50002,100,50002,500,50002,1000
25,50001,10000,50002,500,50002,1000
26,50002,100,50002,500,50002,1000
27,50001,10000,50002,500,50002,1000
28,50002,100,50002,500,50002,1000
29,50001,10000,50002,500,50002,1000
30,50002,100,50002,500,50002,1000
31,50001,10000,50002,500,50002,1000
32,50002,100,50002,500,50002,1000
33,50001,10000,50002,500,50002,1000
34,50002,100,50002,500,50002,1000
35,50001,10000,50002,500,50002,1000
36,50002,100,50002,500,50002,1000
37,50001,10000,50002,500,50002,1000
38,50002,100,50002,500,50002,1000
39,50001,10000,50002,500,50002,1000
40,50002,100,50002,500,50002,1000
41,50001,10000,50002,500,50002,1000
42,50002,100,50002,500,50002,1000
43,50001,10000,50002,500,50002,1000
44,50002,100,50002,500,50002,1000
45,50001,10000,50002,500,50002,1000
46,50002,100,50002,500,50002,1000
47,50001,10000,50002,500,50002,1000
48,50002,100,50002,500,50002,1000
49,50001,10000,50002,500,50002,1000
50,50002,100,50002,500,50002,1000
